id,name,artist,album,release_date,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity
464HG7mt7NNKtKY0Hco8Y8,For You,Staind,Break the Cycle,2001-08-20,,0.318,0.958,10,-2.683,1,0.442,0.0603,4.68e-06,0.0981,0.3,163.089,206200,4,60
5i2MXxinpfJCj1ynihiNnt,Metabolic,Slipknot,Iowa,2001,,0.318,0.991,1,-2.965,1,0.165,0.000156,0.00132,0.128,0.261,97.719,239467,4,47
4FEr6dIdH6EqLKR0jB560J,Rosemary,Deftones,Koi No Yokan,2012-11-09,,0.285,0.613,5,-6.412,1,0.0421,0.0185,0.1,0.114,0.0772,126.628,413347,4,72
3Lkm8fyUksuC8hr9I35nio,Purity,Slipknot,Slipknot (10th Anniversary Edition),2009-09-09,,0.283,0.978,6,-5.612,1,0.18,0.000105,0.0735,0.252,0.399,166.178,265453,4,59
0at89DgpVeImkVrQ0htbVm,Pulse of the Maggots,Slipknot,Vol. 3: The Subliminal Verses,2004,,0.218,0.994,7,-2.222,1,0.291,0.00301,3.4e-06,0.228,0.112,87.469,259733,4,58
47VSmPTydr0saGjbQGwCeg,Disasterpiece,Slipknot,Iowa,2001,,0.395,0.988,11,-4.063,0,0.246,0.000128,0.000244,0.134,0.189,107.684,308307,4,61
5hheGdf1cb4rK0FNiedCfK,The Devil in I,Slipknot,.5: The Gray Chapter (Special Edition),2014-10-15,,0.398,0.939,9,-2.865,0,0.0648,0.00591,0.000881,0.357,0.235,92.027,342821,4,72
7on45JTbuUgroAC4DXwBqQ,Just Like This,Limp Bizkit,Significant Other,1999,,0.639,0.947,6,-4.216,1,0.142,0.00896,0.00173,0.0915,0.586,100.869,215040,4,59
3RAFcUBrCNaboRXoP3S5t1,Psychosocial,Slipknot,All Hope Is Gone (10th Anniversary),2008-08-20,,0.568,0.981,2,-3.889,1,0.0887,0.00269,0.00275,0.0243,0.307,135.146,284120,4,76
2Xo649jOUtsXN2Ohm2rfCR,Diluted,Slipknot,Slipknot,1999,,0.298,0.986,1,-4.125,1,0.182,0.0125,1.22e-05,0.0782,0.411,158.636,203027,4,51
